sil	[-5.444004058837891, -5.874462127685547, -6.235808849334717, -6.467559814453125, -6.518604278564453, -6.615790367126465, -6.810735702514648, -6.861322402954102, -6.95452356338501, -6.958813667297363, -6.988672733306885, -7.18839168548584, -7.202063083648682, -7.303144931793213, -7.411856651306152, -7.357356548309326, -7.439033508300781, -7.462079048156738, -7.438121318817139, -7.555345058441162, -7.495227336883545, -7.5501017570495605, -7.591916084289551, -7.571466445922852, -7.72330904006958, -7.697932243347168, -7.69925594329834, -7.869387149810791, -7.792923927307129, -7.831226348876953, -7.9459357261657715, -7.836113452911377, -7.894000053405762, -7.945165634155273, -7.782748699188232, -7.934436321258545, -7.9649481773376465, -7.951674461364746, -7.959263324737549, -7.952333450317383, -8.035377502441406, -7.972794055938721, -7.982994556427002, -8.135966300964355, -7.947230815887451, -8.164220809936523, -8.241990089416504, -8.223912239074707, -8.143416404724121, -8.272183418273926, -8.312814712524414, -8.135476112365723, -8.413755416870117, -8.204172134399414, -8.419708251953125, -8.202399253845215, -8.4448881149292, -8.179427146911621, -8.356500625610352, -8.296030044555664, -8.281678199768066, -8.274679183959961, -8.325806617736816, -8.31872272491455, -8.353320121765137, -8.333541870117188, -8.3992338180542, -8.4096097946167, -8.447565078735352, -8.479410171508789, -8.48829460144043, -8.511515617370605, -8.576384544372559, -8.592732429504395, -8.56101131439209, -8.648365020751953, -8.598960876464844, -8.6758394241333, -8.665193557739258, -8.647090911865234, -8.658794403076172, -8.672627449035645, -8.682655334472656, -8.696145057678223, -8.68704891204834, -8.711929321289062, -8.710471153259277, -8.694024085998535, -8.75351333618164, -8.762161254882812, -8.805644035339355, -8.807894706726074, -8.801694869995117, -8.818879127502441, -8.836493492126465, -8.867792129516602, -8.901176452636719, -8.91308879852295, -8.940443992614746, -8.961124420166016, -8.992313385009766, -9.03799057006836, -9.06413459777832, -9.102048873901367, -9.133228302001953, -9.176311492919922, -9.197830200195312, -9.21538257598877, -9.228450775146484, -9.237123489379883, -9.29067325592041, -9.329338073730469, -9.346116065979004, -9.37398910522461, -9.385137557983398, -9.418678283691406, -9.407419204711914, -9.447096824645996, -9.464736938476562, -9.46866226196289, -9.489825248718262, -9.50362777709961, -9.539090156555176, -9.662907600402832, -10.03646469116211, -10.774624824523926, -11.336739540100098, -11.488692283630371]
k	[-3.920767307281494, -4.168831825256348, -4.286694049835205, -4.033437252044678, -3.792419195175171, -3.641812562942505, -3.5446295738220215, -3.422415018081665, -3.3091022968292236, -3.3148114681243896, -3.434796094894409, -3.6024279594421387, -3.752347230911255, -3.7751193046569824, -3.745824098587036, -3.6798579692840576, -3.644850730895996, -3.666436195373535, -3.71665096282959, -3.770617961883545, -3.8449506759643555, -3.9188144207000732, -3.9486474990844727, -4.073146820068359, -4.165377140045166, -4.231255531311035, -4.301695823669434, -4.368330001831055, -4.397780895233154, -4.438560485839844, -4.484192848205566, -4.494426727294922, -4.527572154998779, -4.5718913078308105, -4.518289089202881, -4.61254358291626, -4.668497562408447, -4.699514865875244, -4.7203288078308105, -4.770810127258301, -4.8288655281066895, -4.8482842445373535, -4.906274795532227, -4.977896213531494, -4.880949020385742, -5.061666488647461, -5.137287616729736, -5.151872158050537, -5.063353538513184, -5.267637252807617, -5.304870128631592, -5.206750869750977, -5.436325550079346, -5.3173441886901855, -5.507777690887451, -5.379465103149414, -5.59228515625, -5.432715892791748, -5.596575736999512, -5.592599868774414, -5.5918498039245605, -5.62485933303833, -5.7009711265563965, -5.702707290649414, -5.762569904327393, -5.775589466094971, -5.8418121337890625, -5.856203556060791, -5.895323276519775, -5.914876937866211, -5.926022529602051, -5.909832000732422, -5.9528398513793945, -5.951948165893555, -5.891507148742676, -5.943800926208496, -5.844722270965576, -5.888243198394775, -5.864594459533691, -5.827056884765625, -5.859266757965088, -5.863856792449951, -5.8774733543396, -5.90333890914917, -5.9216227531433105, -5.94687557220459, -5.950321197509766, -6.000769138336182, -6.0398335456848145, -6.041182994842529, -6.098938941955566, -6.118434906005859, -6.131580352783203, -6.158300876617432, -6.167514324188232, -6.180202007293701, -6.191226959228516, -6.192464828491211, -6.211979866027832, -6.226156711578369, -6.238584041595459, -6.2739152908325195, -6.313564777374268, -6.368771553039551, -6.44289493560791, -6.530432224273682, -6.629817485809326, -6.728320598602295, -6.850086688995361, -6.949963569641113, -7.061131954193115, -7.1593732833862305, -7.253304481506348, -7.350419521331787, -7.434791564941406, -7.509820938110352, -7.560234546661377, -7.597565650939941, -7.625802040100098, -7.637663841247559, -7.652008056640625, -7.655125141143799, -7.660388946533203, -7.739620685577393, -8.06182861328125, -8.817371368408203, -10.122313499450684, -11.384336471557617]
O:3	[-3.567472457885742, -3.8882944583892822, -3.9006435871124268, -3.2896666526794434, -2.9101197719573975, -2.7620136737823486, -2.4776039123535156, -1.8924881219863892, -1.3627086877822876, -1.3615074157714844, -1.8484618663787842, -2.431316375732422, -2.7812373638153076, -2.7025697231292725, -2.403416633605957, -2.041184902191162, -1.7652287483215332, -1.6395496129989624, -1.639591097831726, -1.7229689359664917, -1.800199270248413, -1.8184452056884766, -1.6869584321975708, -1.6000863313674927, -1.5124502182006836, -1.4231607913970947, -1.3785744905471802, -1.3871779441833496, -1.4387212991714478, -1.5123172998428345, -1.5834800004959106, -1.6344940662384033, -1.6650564670562744, -1.649580717086792, -1.5451629161834717, -1.6178184747695923, -1.624682903289795, -1.645495057106018, -1.6721054315567017, -1.7063517570495605, -1.7467427253723145, -1.8145058155059814, -1.89797043800354, -1.971543312072754, -1.9165178537368774, -2.140159845352173, -2.2536797523498535, -2.400360107421875, -2.374988317489624, -2.6842448711395264, -2.8330447673797607, -2.8075990676879883, -3.1948869228363037, -3.1581971645355225, -3.4558680057525635, -3.484158515930176, -3.7726619243621826, -3.737332344055176, -3.94193959236145, -4.041380405426025, -4.089867115020752, -4.186810493469238, -4.278598785400391, -4.358709335327148, -4.455729007720947, -4.544896602630615, -4.648407459259033, -4.720196723937988, -4.775057792663574, -4.828625202178955, -4.87484884262085, -4.859417915344238, -4.918777942657471, -4.914052963256836, -4.813950538635254, -4.849603176116943, -4.7134222984313965, -4.697154998779297, -4.616428852081299, -4.520267963409424, -4.50395393371582, -4.450951099395752, -4.418801784515381, -4.404098033905029, -4.367708206176758, -4.3304033279418945, -4.263782501220703, -4.247220516204834, -4.217972278594971, -4.164041996002197, -4.166421413421631, -4.1472697257995605, -4.151969909667969, -4.203563690185547, -4.2454328536987305, -4.282421588897705, -4.321556091308594, -4.351734638214111, -4.42667293548584, -4.5387349128723145, -4.681423664093018, -4.88910436630249, -5.095591068267822, -5.2839436531066895, -5.442544460296631, -5.554428577423096, -5.652246475219727, -5.732168674468994, -5.834984302520752, -5.920365333557129, -6.02549934387207, -6.129360198974609, -6.249959468841553, -6.394591808319092, -6.535434246063232, -6.671582221984863, -6.777920722961426, -6.870334148406982, -6.945671558380127, -6.993765830993652, -7.024739742279053, -7.032315731048584, -7.051961898803711, -7.151979446411133, -7.490276336669922, -8.245733261108398, -9.674969673156738, -11.359259605407715]
a:3	[-3.528151273727417, -3.8060312271118164, -3.7735061645507812, -3.1764438152313232, -2.8283731937408447, -2.7094833850860596, -2.413578510284424, -1.806279182434082, -1.2882405519485474, -1.3415319919586182, -1.8829199075698853, -2.4851577281951904, -2.815277338027954, -2.7452051639556885, -2.481513738632202, -2.170527935028076, -1.9527692794799805, -1.8820892572402954, -1.9593507051467896, -2.1032543182373047, -2.224424362182617, -2.287114381790161, -2.1631247997283936, -2.0518858432769775, -1.885717511177063, -1.7246092557907104, -1.5935097932815552, -1.506773829460144, -1.4461861848831177, -1.4150094985961914, -1.3963842391967773, -1.381917953491211, -1.378852367401123, -1.381984829902649, -1.3348181247711182, -1.4475810527801514, -1.477157711982727, -1.4997278451919556, -1.5153746604919434, -1.5287050008773804, -1.5400089025497437, -1.5529133081436157, -1.593831181526184, -1.630567193031311, -1.538802146911621, -1.701013445854187, -1.7316068410873413, -1.7656984329223633, -1.6319574117660522, -1.8459969758987427, -1.9262486696243286, -1.8058953285217285, -2.112243413925171, -2.002568244934082, -2.206895112991333, -2.143080711364746, -2.349996328353882, -2.2627830505371094, -2.4443142414093018, -2.5149335861206055, -2.534942626953125, -2.6595091819763184, -2.765606164932251, -2.8494036197662354, -2.968261957168579, -3.097036123275757, -3.2237067222595215, -3.3516721725463867, -3.462646961212158, -3.561171293258667, -3.6655731201171875, -3.6978158950805664, -3.7898805141448975, -3.824777126312256, -3.7612192630767822, -3.8270163536071777, -3.7127106189727783, -3.7199840545654297, -3.673384666442871, -3.6039023399353027, -3.6115365028381348, -3.613178014755249, -3.630936861038208, -3.649174451828003, -3.6773977279663086, -3.707575559616089, -3.7194972038269043, -3.7718050479888916, -3.8264904022216797, -3.8479130268096924, -3.922545909881592, -3.975482940673828, -3.9969048500061035, -4.032995700836182, -4.038895130157471, -4.043134689331055, -4.063180923461914, -4.078780174255371, -4.14030122756958, -4.20883846282959, -4.288797378540039, -4.414535045623779, -4.558696269989014, -4.702491760253906, -4.843075275421143, -4.959384918212891, -5.071791648864746, -5.171968460083008, -5.293240547180176, -5.380264759063721, -5.475172996520996, -5.554123878479004, -5.658456802368164, -5.786843299865723, -5.916877269744873, -6.050189018249512, -6.163238048553467, -6.275630950927734, -6.389656066894531, -6.495072364807129, -6.583287239074707, -6.630422592163086, -6.672718524932861, -6.795840740203857, -7.145155429840088, -7.901566028594971, -9.33360767364502, -11.224595069885254]
i:	[-3.802504539489746, -4.106339931488037, -3.970475435256958, -3.354907751083374, -2.944112777709961, -2.6617467403411865, -2.2831223011016846, -1.7946114540100098, -1.5127586126327515, -1.6866004467010498, -2.089508056640625, -2.387779474258423, -2.471336603164673, -2.270930051803589, -1.993415117263794, -1.7777529954910278, -1.705913782119751, -1.766442894935608, -1.9052529335021973, -2.0650479793548584, -2.2171671390533447, -2.347297430038452, -2.397083044052124, -2.552805185317993, -2.704153299331665, -2.83703351020813, -2.9686176776885986, -3.08536696434021, -3.1767594814300537, -3.257396697998047, -3.332404851913452, -3.395240306854248, -3.4708898067474365, -3.553295373916626, -3.5632123947143555, -3.7078447341918945, -3.7739784717559814, -3.830071210861206, -3.872133493423462, -3.9286041259765625, -3.991614818572998, -4.04701042175293, -4.123945236206055, -4.194670677185059, -4.115301132202148, -4.297205924987793, -4.350680828094482, -4.388513088226318, -4.262210845947266, -4.461527347564697, -4.499579429626465, -4.358649730682373, -4.589442729949951, -4.410556316375732, -4.557913303375244, -4.393874168395996, -4.535838603973389, -4.340512275695801, -4.411699295043945, -4.349929332733154, -4.258232593536377, -4.242077827453613, -4.23493766784668, -4.192108631134033, -4.171826362609863, -4.1456732749938965, -4.135511875152588, -4.105340480804443, -4.083376407623291, -4.057975769042969, -4.040376663208008, -3.969963550567627, -3.989931106567383, -3.967770576477051, -3.872354507446289, -3.9015681743621826, -3.780712127685547, -3.7837331295013428, -3.734027862548828, -3.6669957637786865, -3.6722183227539062, -3.6593408584594727, -3.663752317428589, -3.6816396713256836, -3.7024552822113037, -3.7364957332611084, -3.7545382976531982, -3.8156611919403076, -3.8723671436309814, -3.896664619445801, -3.9724764823913574, -4.015479564666748, -4.059994697570801, -4.13232946395874, -4.2002716064453125, -4.27938985824585, -4.361543655395508, -4.417978763580322, -4.490849018096924, -4.557803630828857, -4.62380838394165, -4.730684757232666, -4.851960182189941, -4.994896411895752, -5.152496814727783, -5.310710906982422, -5.466850757598877, -5.6059370040893555, -5.757802486419678, -5.889456748962402, -6.031799793243408, -6.1706647872924805, -6.312303066253662, -6.457006454467773, -6.585373401641846, -6.708551406860352, -6.79477596282959, -6.852905750274658, -6.88797664642334, -6.885745048522949, -6.85005521774292, -6.787905693054199, -6.745396614074707, -6.798523426055908, -7.088728904724121, -7.801973819732666, -9.188523292541504, -11.176478385925293]
f	[-3.9001266956329346, -4.17091703414917, -4.330476760864258, -4.165137767791748, -4.022488117218018, -3.9770328998565674, -4.004964828491211, -4.017457962036133, -4.01531457901001, -4.047771453857422, -4.125819683074951, -4.2249555587768555, -4.324753761291504, -4.343165397644043, -4.337898254394531, -4.314380645751953, -4.309627056121826, -4.325170516967773, -4.337732791900635, -4.343902111053467, -4.358339786529541, -4.384011745452881, -4.367068290710449, -4.438419818878174, -4.489846229553223, -4.508689880371094, -4.537727355957031, -4.5657734870910645, -4.5691680908203125, -4.578537940979004, -4.590939998626709, -4.583867073059082, -4.5868306159973145, -4.579656600952148, -4.501132011413574, -4.561676502227783, -4.559715270996094, -4.554596900939941, -4.553991317749023, -4.5622968673706055, -4.57705545425415, -4.579493522644043, -4.597348213195801, -4.617543697357178, -4.501369476318359, -4.63529634475708, -4.648200511932373, -4.6609086990356445, -4.51998233795166, -4.672639846801758, -4.686659812927246, -4.51363468170166, -4.720499515533447, -4.555428504943848, -4.690148830413818, -4.545880317687988, -4.682356357574463, -4.531737804412842, -4.633443355560303, -4.634889602661133, -4.584338188171387, -4.62115478515625, -4.641746520996094, -4.640896320343018, -4.651407718658447, -4.659544944763184, -4.677079677581787, -4.693150043487549, -4.7067952156066895, -4.719699382781982, -4.736184597015381, -4.699819564819336, -4.757263660430908, -4.771026611328125, -4.714621067047119, -4.784028053283691, -4.70079231262207, -4.75100040435791, -4.729159355163574, -4.692901611328125, -4.7184929847717285, -4.712535381317139, -4.7068681716918945, -4.703207492828369, -4.693709373474121, -4.689689636230469, -4.671981334686279, -4.695868968963623, -4.707272529602051, -4.689815521240234, -4.7240681648254395, -4.721405029296875, -4.724219799041748, -4.754188537597656, -4.771737575531006, -4.796525478363037, -4.82464075088501, -4.844924449920654, -4.881664276123047, -4.915352821350098, -4.929934978485107, -4.965854644775391, -5.000262260437012, -5.040219306945801, -5.0906291007995605, -5.137418270111084, -5.179678440093994, -5.221215724945068, -5.2765212059021, -5.305837154388428, -5.353665351867676, -5.386125087738037, -5.422523021697998, -5.464543342590332, -5.493462562561035, -5.5341315269470215, -5.558813095092773, -5.57534122467041, -5.5867838859558105, -5.589334011077881, -5.5930657386779785, -5.580747604370117, -5.5845561027526855, -5.656155586242676, -5.965865612030029, -6.708108425140381, -8.117851257324219, -10.671553611755371]
a1	[-3.039304256439209, -3.2694714069366455, -3.6418683528900146, -3.3300318717956543, -2.8279290199279785, -2.5493862628936768, -2.5497329235076904, -2.5006213188171387, -2.1115427017211914, -1.574296474456787, -1.2191381454467773, -1.2852158546447754, -1.700430154800415, -2.016256093978882, -2.2285988330841064, -2.295558214187622, -2.23683762550354, -2.07617449760437, -1.8729380369186401, -1.6717584133148193, -1.5122145414352417, -1.422276496887207, -1.3171976804733276, -1.3664404153823853, -1.413933277130127, -1.4386521577835083, -1.4525054693222046, -1.4599924087524414, -1.4923347234725952, -1.5321742296218872, -1.5861941576004028, -1.6595581769943237, -1.7517708539962769, -1.8364397287368774, -1.844212532043457, -1.98283851146698, -2.0134074687957764, -2.0516703128814697, -2.0965538024902344, -2.143301486968994, -2.2009472846984863, -2.2641594409942627, -2.3321421146392822, -2.3887429237365723, -2.3164970874786377, -2.4928464889526367, -2.5248935222625732, -2.559354305267334, -2.406132459640503, -2.590823173522949, -2.630836009979248, -2.4737532138824463, -2.7275686264038086, -2.5731210708618164, -2.7432353496551514, -2.6154143810272217, -2.7739553451538086, -2.6535873413085938, -2.7749431133270264, -2.7952287197113037, -2.7793805599212646, -2.8674521446228027, -2.945096254348755, -2.998993158340454, -3.0838937759399414, -3.1904029846191406, -3.2993252277374268, -3.410308599472046, -3.511784315109253, -3.609604597091675, -3.6983954906463623, -3.7355425357818604, -3.848193883895874, -3.880744218826294, -3.8341662883758545, -3.897146224975586, -3.805962085723877, -3.8271596431732178, -3.7751760482788086, -3.701129913330078, -3.682328462600708, -3.6731202602386475, -3.67463755607605, -3.6849524974823, -3.689305305480957, -3.7011470794677734, -3.6908814907073975, -3.7118375301361084, -3.7188799381256104, -3.689743757247925, -3.7340996265411377, -3.7310099601745605, -3.743156671524048, -3.783259868621826, -3.8138132095336914, -3.8534326553344727, -3.8981895446777344, -3.931072950363159, -3.982849359512329, -4.037035942077637, -4.09213399887085, -4.178853511810303, -4.286745071411133, -4.40537166595459, -4.531645774841309, -4.66506290435791, -4.798912048339844, -4.922431468963623, -5.062844276428223, -5.16579532623291, -5.278968811035156, -5.398001670837402, -5.537720203399658, -5.6927032470703125, -5.850917339324951, -5.997381210327148, -6.104426860809326, -6.183590888977051, -6.2402729988098145, -6.2761454582214355, -6.293180465698242, -6.27319860458374, -6.257351398468018, -6.334000110626221, -6.6685075759887695, -7.437814235687256, -8.882891654968262, -11.101187705993652]
n	[-3.852635383605957, -4.142463684082031, -4.07315731048584, -3.5383291244506836, -3.109264373779297, -2.7578022480010986, -2.3669371604919434, -1.9581921100616455, -1.7713770866394043, -1.9371613264083862, -2.2909789085388184, -2.6026034355163574, -2.80842661857605, -2.778869152069092, -2.690993070602417, -2.633603811264038, -2.6588919162750244, -2.773942470550537, -2.925183057785034, -3.0803005695343018, -3.2144289016723633, -3.332822799682617, -3.3938257694244385, -3.572772741317749, -3.719187021255493, -3.82846736907959, -3.9499430656433105, -4.053957462310791, -4.118134021759033, -4.170201778411865, -4.220355987548828, -4.258345603942871, -4.311423301696777, -4.391808032989502, -4.358128547668457, -4.449656963348389, -4.50786828994751, -4.539010524749756, -4.553654670715332, -4.604743957519531, -4.666080951690674, -4.689781188964844, -4.748886585235596, -4.818049430847168, -4.708377838134766, -4.887993335723877, -4.954264163970947, -4.952764987945557, -4.835818767547607, -5.0325541496276855, -5.044856548309326, -4.927856922149658, -5.145861625671387, -4.985203742980957, -5.147632122039795, -4.987483024597168, -5.175347805023193, -4.995849609375, -5.1247687339782715, -5.099671840667725, -5.072531223297119, -5.088286876678467, -5.132843494415283, -5.130972385406494, -5.174015998840332, -5.189516544342041, -5.242745399475098, -5.27236795425415, -5.321178913116455, -5.349431037902832, -5.369108200073242, -5.352879047393799, -5.406834125518799, -5.421548366546631, -5.363613128662109, -5.41325044631958, -5.3016276359558105, -5.324632167816162, -5.281223773956299, -5.213680267333984, -5.2156453132629395, -5.195753574371338, -5.2069525718688965, -5.247110843658447, -5.306962966918945, -5.379761695861816, -5.430715084075928, -5.516083717346191, -5.586970806121826, -5.623208045959473, -5.7094502449035645, -5.765496730804443, -5.815078258514404, -5.8725152015686035, -5.908896446228027, -5.939155578613281, -5.967395305633545, -5.984154224395752, -6.026406288146973, -6.073439121246338, -6.124009609222412, -6.203204154968262, -6.287712574005127, -6.381319046020508, -6.483132362365723, -6.582004070281982, -6.675135135650635, -6.766936779022217, -6.887315273284912, -6.987922668457031, -7.0955424308776855, -7.17991828918457, -7.252901077270508, -7.329291343688965, -7.395837306976318, -7.455799102783203, -7.493534564971924, -7.5125813484191895, -7.5225982666015625, -7.523298740386963, -7.516678810119629, -7.502647399902344, -7.5091233253479, -7.60084342956543, -7.937375545501709, -8.693312644958496, -10.073439598083496, -11.41712474822998]
p_h	[-3.4660885334014893, -3.489086866378784, -3.5471725463867188, -3.4448390007019043, -3.360952377319336, -3.3397789001464844, -3.362814426422119, -3.400402784347534, -3.4484527111053467, -3.5357296466827393, -3.6392300128936768, -3.742741823196411, -3.8619351387023926, -3.8884761333465576, -3.8990416526794434, -3.8901164531707764, -3.892340898513794, -3.928781747817993, -3.955219268798828, -3.9950249195098877, -4.045315265655518, -4.093931198120117, -4.104519844055176, -4.207265853881836, -4.278846740722656, -4.3204731941223145, -4.3653645515441895, -4.399578094482422, -4.407607078552246, -4.4258832931518555, -4.449054718017578, -4.460132598876953, -4.483076095581055, -4.49669075012207, -4.41869592666626, -4.482232570648193, -4.506834983825684, -4.52795934677124, -4.537347316741943, -4.563709735870361, -4.59820556640625, -4.619775295257568, -4.675356388092041, -4.733032703399658, -4.638150215148926, -4.808242321014404, -4.867748260498047, -4.897006988525391, -4.777294158935547, -4.972025394439697, -5.012137413024902, -4.88163948059082, -5.1109161376953125, -4.966867923736572, -5.126188278198242, -5.00174617767334, -5.168818950653076, -5.015458106994629, -5.141660690307617, -5.13844108581543, -5.109704494476318, -5.149670124053955, -5.197619438171387, -5.212410926818848, -5.246056079864502, -5.2653303146362305, -5.313810348510742, -5.3394060134887695, -5.380095481872559, -5.4090752601623535, -5.431602954864502, -5.412299633026123, -5.465283393859863, -5.477332592010498, -5.420013427734375, -5.483902454376221, -5.3865203857421875, -5.429913520812988, -5.399220943450928, -5.349949359893799, -5.368957042694092, -5.364106178283691, -5.373461723327637, -5.390578746795654, -5.408028602600098, -5.429392337799072, -5.440603733062744, -5.490625381469727, -5.531809329986572, -5.539579391479492, -5.592014312744141, -5.614919662475586, -5.628137588500977, -5.671020984649658, -5.698265075683594, -5.723388195037842, -5.749377250671387, -5.761898517608643, -5.795374870300293, -5.827737331390381, -5.858692169189453, -5.923765182495117, -5.997865676879883, -6.078829765319824, -6.160314559936523, -6.238652229309082, -6.313887596130371, -6.394693374633789, -6.483917236328125, -6.54862642288208, -6.623505115509033, -6.68648099899292, -6.757016181945801, -6.830739498138428, -6.894824504852295, -6.964151859283447, -7.018312454223633, -7.06423807144165, -7.1094746589660645, -7.140524387359619, -7.18203592300415, -7.2169508934021, -7.249401569366455, -7.356666088104248, -7.695156574249268, -8.462613105773926, -9.857841491699219, -11.426406860351562]
I4	[-3.3004331588745117, -3.573641300201416, -3.452932596206665, -2.947848081588745, -2.6624181270599365, -2.3333752155303955, -1.7714383602142334, -1.2302510738372803, -1.145272135734558, -1.5348552465438843, -2.03812313079834, -2.3473117351531982, -2.420166492462158, -2.219043254852295, -1.9743983745574951, -1.8007683753967285, -1.740851879119873, -1.80589759349823, -1.9259413480758667, -2.029770612716675, -2.076667547225952, -2.0714147090911865, -1.9897907972335815, -2.044542074203491, -2.113689661026001, -2.1898176670074463, -2.27856183052063, -2.373459577560425, -2.48639178276062, -2.591625452041626, -2.6641244888305664, -2.7328081130981445, -2.8222122192382812, -2.8951644897460938, -2.901434898376465, -3.044189453125, -3.109790563583374, -3.170332908630371, -3.2358124256134033, -3.3152716159820557, -3.398958206176758, -3.4817941188812256, -3.5641634464263916, -3.6403706073760986, -3.5973551273345947, -3.8018181324005127, -3.8830623626708984, -3.969205617904663, -3.9025256633758545, -4.133709907531738, -4.209709644317627, -4.086437225341797, -4.334524154663086, -4.199397563934326, -4.359548568725586, -4.217732906341553, -4.355894565582275, -4.182154655456543, -4.231581211090088, -4.165063858032227, -4.047039985656738, -4.014480113983154, -3.9644360542297363, -3.903794765472412, -3.8763294219970703, -3.8324763774871826, -3.787520408630371, -3.7332913875579834, -3.700104236602783, -3.6684656143188477, -3.6438772678375244, -3.5619168281555176, -3.583569288253784, -3.5579609870910645, -3.476560354232788, -3.506899118423462, -3.3746631145477295, -3.383289098739624, -3.3418729305267334, -3.2871248722076416, -3.3188958168029785, -3.338376045227051, -3.4014623165130615, -3.4617056846618652, -3.5255212783813477, -3.582674264907837, -3.615229845046997, -3.678835153579712, -3.7401933670043945, -3.764124870300293, -3.843792200088501, -3.8959977626800537, -3.9468722343444824, -4.026750564575195, -4.0737504959106445, -4.130727291107178, -4.177788257598877, -4.224808216094971, -4.296976089477539, -4.364508152008057, -4.4247894287109375, -4.511845111846924, -4.6073126792907715, -4.713106155395508, -4.836668968200684, -4.977892875671387, -5.125185489654541, -5.273613929748535, -5.431914329528809, -5.548122882843018, -5.680249214172363, -5.826152801513672, -5.967916965484619, -6.1297287940979, -6.276148796081543, -6.4087605476379395, -6.50174617767334, -6.572098731994629, -6.627613067626953, -6.654210567474365, -6.632722854614258, -6.565443515777588, -6.516628742218018, -6.571277141571045, -6.8692946434021, -7.597546577453613, -9.007589340209961, -11.119087219238281]
